Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Elisabeth,,,77,261,4,0.512842,0.551336,338.816392,0.079374,0.079374,1,0.003414,0,0.443267,1297,0.387732
Matthæus,,,132,1131,4,0.547032,0.602254,1779.001159,0.114874,0.114874,5,0.005973,0,0.309045,2672,0.562358
David/Kong David,,,122,885,4,0.541102,0.59335,957.880752,0.109903,0.109903,1,0.005368,0,0.332611,2455,0.538623
Zakarias,,,67,415,4,0.505059,0.540902,68.004207,0.079206,0.079206,1,0.002874,0,0.608774,1346,0.383878
Djævelen,,,98,589,4,0.527289,0.571925,477.691504,0.096629,0.096629,2,0.004295,0,0.404587,1923,0.471883
Markus,,,161,446,4,0.567773,0.629521,4858.446908,0.117204,0.117204,3,0.007619,0,0.210326,2709,0.580914
Simon,,,99,520,4,0.528219,0.573038,614.610526,0.095578,0.095578,5,0.004381,0,0.389198,1888,0.467119
Menneskesøn/Menneskesønnen,,,86,385,4,0.519965,0.560796,605.684681,0.089153,0.089153,1,0.003842,0,0.446785,1633,0.434789
Halfdan Rasmussen,,,48,76,4,0.492599,0.521842,136.448744,0.052389,0.052389,4,0.002219,0,0.487589,550,0.256445
Steffen Brandt,,,31,40,4,0.479968,0.503617,64.741323,0.032597,0.032597,3,0.001562,0,0.430108,200,0.161542
Jesper,,,27,32,4,0.474268,0.497218,91.523164,0.025592,0.025592,3,0.001416,0,0.350427,123,0.1278
Stein Bagger,,,29,36,4,0.476531,0.5,67.534019,0.029672,0.029672,4,0.001501,0,0.438424,178,0.147676
Johan,,,39,55,4,0.485807,0.512243,141.894291,0.033353,0.033353,3,0.001976,0,0.31444,233,0.166993
Poul,,,74,131,4,0.515047,0.551057,347.163586,0.065195,0.065195,3,0.003376,0,0.324324,876,0.32384
Filip,,,74,259,4,0.511529,0.548831,409.991449,0.067724,0.067724,3,0.003409,0,0.336542,909,0.334292
Andreas,,,85,236,4,0.517271,0.55857,889.950181,0.067801,0.067801,3,0.004034,0,0.260224,929,0.337409
Piet Hein,,,41,56,4,0.492599,0.518086,99.990532,0.040732,0.040732,4,0.001977,0,0.412195,338,0.201972
Møller,,,18,22,4,0.471282,0.489983,8.979898,0.022606,0.022606,3,0.000999,0,0.633987,97,0.112788
Kim Larsen,,,29,47,4,0.481511,0.503478,67.340386,0.027093,0.027093,3,0.001499,0,0.37931,154,0.135569
Jomfru Maria,,,77,143,4,0.517271,0.554118,569.557268,0.067854,0.067854,3,0.003585,0,0.330485,967,0.335868
Rabbi,,,48,99,4,0.497095,0.525042,239.588644,0.045245,0.045245,3,0.002322,0,0.375887,424,0.224892
Messias,,,93,167,4,0.522232,0.566082,1076.753836,0.078048,0.078048,3,0.004338,0,0.293128,1254,0.385679
Nathanael,,,47,103,4,0.494224,0.522538,222.868269,0.040028,0.040028,3,0.002298,0,0.310823,336,0.200305
Philip Yancey,,,15,21,4,0.465785,0.484418,29.507712,0.016306,0.016306,3,0.000937,0,0.457143,48,0.082237
Cranach,,,6,12,5,0.421238,0.44246,1.191201,0.007572,0.007572,3,0.000509,0,0.6,9,0.037804
Lazarus,,,51,636,4,0.496683,0.526433,427.442406,0.060567,0.060567,5,0.002348,0,0.589804,752,0.295086
Farisæerne,,,44,89,4,0.487785,0.516416,84.354069,0.044676,0.044676,1,0.002076,0,0.429175,406,0.219726
Søren Ulrik Thomsen,,,75,148,4,0.512404,0.549944,388.953413,0.072846,0.072846,4,0.003416,0,0.377658,1048,0.3578
John,,,71,104,4,0.513722,0.548553,1057.773403,0.062001,0.062001,3,0.003447,0,0.30664,762,0.308179
Nietzsche,,,33,47,4,0.484628,0.508069,113.252616,0.030701,0.030701,3,0.001716,0,0.359848,190,0.153879
Jakob,,,116,1177,4,0.539154,0.588898,1210.81952,0.102604,0.102604,0,0.005204,0,0.31934,2130,0.503115
Anna,,,71,233,4,0.510221,0.546466,458.583496,0.073256,0.073256,1,0.003245,0,0.452716,1125,0.3583
Kim,,,29,36,4,0.4792,0.501948,68.226481,0.027832,0.027832,3,0.001482,0,0.399015,162,0.138838
Simeon,,,60,118,4,0.507197,0.538258,980.764704,0.044508,0.044508,3,0.003036,0,0.244633,433,0.224722
Theodor,,,15,15,4,0.45586,0.476628,62.989619,0.01064,0.01064,3,0.00097,0,0.2,21,0.054216
Villads,,,10,10,4,0.444692,0.464385,15.199172,0.00728,0.00728,4,0.000734,0,0.266667,12,0.037242
Ole,,,66,95,4,0.511092,0.544101,486.133427,0.05594,0.05594,3,0.003122,0,0.299767,643,0.279314
Job,,,59,155,4,0.499583,0.532832,158.213014,0.062235,0.062236,1,0.002654,0,0.466394,798,0.303952
Sand,,,55,77,4,0.5,0.530885,280.835491,0.048956,0.048956,3,0.00266,0,0.321212,477,0.243503
Barack Obama,,,54,75,4,0.497508,0.52852,258.343516,0.050985,0.050985,7,0.002547,0,0.362683,519,0.251578
Osama Bin Laden,,,19,31,4,0.471654,0.490818,42.468175,0.023299,0.023299,7,0.001044,0,0.567251,97,0.115439
Judas,,,184,471,4,0.578744,0.647885,5061.850598,0.123395,0.123395,3,0.008717,0,0.178368,3003,0.615085
Antikrist,,,21,25,4,0.461124,0.48414,37.676464,0.020122,0.020122,3,0.00116,0,0.4,84,0.100472
Martin,,,74,106,4,0.512842,0.549805,633.887304,0.060265,0.060265,3,0.003535,0,0.280637,758,0.300126
Andres,,,18,21,4,0.469068,0.488314,67.913826,0.018149,0.018149,3,0.001081,0,0.366013,56,0.091332
Jonas,,,58,238,4,0.502096,0.533945,191.655778,0.065757,0.065757,1,0.002595,0,0.549909,909,0.32035
Olsen,,,48,59,4,0.493817,0.522677,373.337575,0.040887,0.040887,3,0.002417,0,0.306738,346,0.204137
Karl Ove Knausgård,,,33,56,4,0.481124,0.505426,71.575806,0.035195,0.035195,7,0.001635,0,0.448864,237,0.173155
Barnet,,,17,18,4,0.463981,0.483723,13.522652,0.016124,0.016124,3,0.000965,0,0.330882,45,0.080704
Tolderen,,,19,50,4,0.470912,0.490262,10.569411,0.023813,0.023813,6,0.001029,0,0.625731,107,0.117709
Farisæeren,,,22,44,4,0.474268,0.494435,49.579236,0.024788,0.024788,6,0.001194,0,0.545455,126,0.123284
Halfdan,,,8,13,4,0.45586,0.472454,16.831018,0.008642,0.008642,4,0.000611,0,0.464286,13,0.044205
Niels/Nils,,,89,127,4,0.520417,0.562743,707.456766,0.079305,0.079305,4,0.004059,0,0.3238,1268,0.391362
Hansen,,,59,79,4,0.505059,0.536311,643.676817,0.048394,0.048394,3,0.002944,0,0.284629,487,0.242725
Elisa,,,32,49,4,0.487785,0.509599,96.279577,0.030829,0.030829,3,0.001639,0,0.352823,175,0.154011
