Entity,Index,ID
Georg Duckwitz,102,George Duckwitz
Duckwitz,102,George Duckwitz
Ida Jessens,103,Ida Jessen
Ida Jessen,103,Ida Jessen
Albert Einstein,104,Albert Einstein
Einstein,104,Albert Einstein
Osama bin Laden,105,Osama Bin Laden
Osama Bin Laden,105,Osama Bin Laden
Storm,106,Storm P/Storm
Storm P,106,Storm P/Storm
Kristian,107,Christian/Kristian
Christian,107,Christian/Kristian
søren,108,Søren
Søren,108,Søren
Kaj,109,Kay/Kaj
Kay,109,Kay/Kaj
Stefan,110,Stefan
Stefans,110,Stefan
Niels,111,Niels/Nils
Nils,111,Niels/Nils
Jonatan,112,Jonathan/Jonatan
Jonathan,112,Jonathan/Jonatan
Lars,113,Lars
Lars ’,113,Lars
Mathias,114,Mattias/Mathias
Mattias,114,Mattias/Mathias
Hanna,115,Hanna/Hannah
Hannah,115,Hanna/Hannah
Klaus,116,Klaus/Claus
Claus,116,Klaus/Claus
Sofus,117,Sofus/Sophus
Sophus,117,Sofus/Sophus
Sonia,118,Sonja/Sonia
Sonja,118,Sonja/Sonia
Karl,119,Karl/Carl
Carl,119,Karl/Carl
Jane,120,Jane
Janes,120,Jane
Victor,121,Viktor/Victor
Viktor,121,Viktor/Victor
gartneren,122,Gartneren
Gartneren,122,Gartneren
Konfirmanderne,123,Konfirmanderne
konfirmanderne,123,Konfirmanderne
